mot,lemme
assené,assener
francise,
meistes,mettre
delay,
entreprinse,entreprise
alastes,aler
encommencié,encommencer
ordinastes,ordiner
achevé,
sceustes,savoir1
abandonnastes,abandonner
conquestes,conquête
deviés,
dela,delà
venistes,venir
eussez,avoir1
example,
loial,loyal
donne,donner
hoirs,hoir
appartenances,
drois,droit1
soiés,être1
obeissans,obéissant
convient,
laissier,laisser
fye,fier2
commande,commander
amour,amour1
baux,
prochains,prochain
parans,
deca,deça
doiés,
tenriez,tenir
remainst,remaindre
cognissans,
lox,
bailliauge,bailliage
seelerent,sceller
seaux,sceau
affermées,
apareilla,apareillier1
liquel,
assenée,assener
Gautiers,Gauthier
Rosieres,
assenés,
Mathegriffon,
Bruieres,
.xxij.,vingt-deux
Guill,Guillaume
Mahieu,Mahieu
Mons,Mons
Veligurt,
Nicles,
.vj.,six
Gui,
Nivelet,
Gierachy,Geraki
Cremenie,Crémonie
Otthe,
Tournay,
Colovrate,
Ougues,Hugues
Lille,Lille
Nulli,
Passavant,
Cremonie,
sergans,sergent1
fievé,
registre,registre
fié,fief
entier,entier
proprement,
convendroit,
toujours,toujours
paiaissent,payer
estance,estance1
pueust,
frontiere,
besongnes,
.viij.,huit
vouldroit,vouloir
annee,anee
ecglises,
deffence,
afaires,afaire2
devisés,
ordinés,
fievoit,fieffer
usée,user
acord,
leissoit,
assenoit,assener
portement,
gaaignié,gäaignier1
enorterent,
convoita,
glore,
contricion,
eschaufée,
envoioit,envoyer
parens,parent
empeschier,
retournerons,
desirez,
Penthecouste,
jamais,jamais
bernage,
voulus,
festoyant,
manderoit,
receux,
pat,
Robers,
previlieges,
bail,baillier
yssue,
mons,mont
Moncenys,
chargiés,
nege,
Savoye,
demy,
empetré,
engigner,
appareilloit,
gallie,
armée,
patron,
Corfo,
gietast,
Cret,
calefater,
semblant,semblant1
deschargier,décharger
ayse,
presenterent,présenter
contenoit,
jetter,
honora,
messaiges,message1
galie,
beaux,
esvesliés,
laissié,laisser
esbahys,
barque,
privéement,
deffendi,défendre1
R,Rianwez
arrestés,
pourcacha,pourchasser
arrivés,
mandast,
ordonnées,
Glisiere,
informés,
affaires,
joye,
convenances,
despescier,
besongne,
declairier,
envoïa,
convoïer,
convoïa,
acompaignoient,
courouciés,
vouldrent,
empeschiés,
procacha,
Veligourt,
Tout,tout2
tribulacion,
empechemens,
honnerablement,
seignourie,
commandemens,
sachans,
voillant,
entendement,entendement
cilz,
rechut,recevoir
joyeusement,
asirent,
communaument,
nés,nef1
parlans,
commes,
acquitté,
ycel,
proposée,
protestacion,
chartres,charte
comissions,
aultres,autre
tesmoignance,
tesmoignoient,
commandoit,
parleu,
endoctrinés,
coronne,couronne
lire,lire1
chastellenie,
perpetuel,perpétuel
juste,jouxte1
sentence,sentence1
quy,
deveroit,
debatirent,
estroitement,étroitement1
vainquent,
cys,
presenter,
passés,passer1
appellerent,
esbays,
esperdus,
honnoroit,
festioit,
pourfitoit,
donnée,
copie,
offri,
hautement,hautement
compaigna,
noblement,noblement
demorés,
ançoys,
appartenoit,
chastellanie,
payés,
mareschaux,
aisné,
traveillans,
acroistre,
Cateloigne,
acompaignie,
maine,manoir2
entrepassant,
arrivée,
descendist,
honorer,
espouse,épouse
honnor,
perils,peril
coruce,
trouverons,
acorderons,
eslis,
amonnestement,admonestement
espousailles,
gallies,
yriez,
destourbé,
esmeux,
yre,
encomencié,
espousée,
espousé,
pareille,
nacion,
refreinist,
coroux,
avenans,avenant2
Larisse,
duchiame,
Atthenes,
Roche,roche3
honerablement,
festoyerent,
m,me
Archepellague,
ysles,
yles,
senescal,
tornoys,
princée,
Usages,
eues,
ordinées,
liesce,
acompli,accomplir
princesse,
acordés,
joyeuse,
vesquirent,vivre1
heurs,
Malvesie,
loyal,
abrevoient,
entreprenans,
empeschoient,
pourpensa,pourpenser
poroit,pouvoir2
coignut,
vassiaux,
aultrement,
donneroit,
acquiteroit,
perpetuelement,
ytel,
payant,
panatique,
Negrepont,
assieger,
purprys,
voulentés,
buche,bouche1
agüe,
encoste,encoste
miedi,
Escovée,
arbalestiers,
voulions,
sege,siège
estoyent,
Chorinte,
covenances,convenance
segures,
souloient,souloir
doux,doux
veés,voir1
près,
escale,
abondent,
ambeduy,
assiegeroit,
auroient,
voulantés,
voudroit,
salve,sauf
fievés,
couvent,convent
donoyent,
gaaigniés,
aigues,aigue
donant,donner
asiegerent,
Latin,
tenissent,tenir
gardaissent,
arconde,
seelées,
seignour,seigneur
plevy,
fermement,fermement1
randus,
primevere,
Negripont,
sieguissent,
appareillerent,
assiega,
garny,
orgueil,orgueil
benoit,
charpentiers,charpentier
telz,
getter,
continuelement,
famine,famine1
detresce,
envoiassent,
demandant,demander
villain,
serviroient,
cognissoit,
maistrier,
sotmettre,
Ponant,
Clamate,
Maigne,
françoys,
Beaufort,
Lefftro,
contraindre,
subjection,sujétion
Arte,
despotée,
revela,
Lescari,
chil,cil
noyer,
auÿ,
corouciés,
desdaigna,
raisonablement,
obeïr,
cyl,
ducheame,
secoururent,
aiderent,
recommanda,
bastart,
despos,
moitié,moitié
despost,
Patre,
Michailly,
consummer,
office,
sevastocratora,
recomanda,
revelés,
alliance,
dotte,
donnoit,donner
guerroioient,
Misitra,
conteons,
comencerent,
habitacions,
maisons,maison
sournoms,
j,
Carentaine,
Gautier,
Mathegriphon,
Nivelete,
Girachy,
Chacoinie,
persones,personne
cortoys,
Champenoys,
ligié,
ommage,
Bondonnice,
terciers,
recordoit,
respondant,répondre
ytelz,
siene,sien
entenus,
senon,
acquita,
aidié,aider
yriés,
respondirent,répondre
desdaignoit,
rebellans,
anemy,
arréé,
semonst,
Carintaine,
Carantaine,
pourpansé,
feroy,
emprist,emprendre1
pieur,
desherita,
miex,mieux
deceux,
Caraintaine,
piour,pire1
amassoit,
efforciement,
joyans,
Caraitaine,
aucque,
poissant,puissant
villainement,
abandonné,
revel,
Meguare,
seurement,sûrement
guya,
entrencontrerent,
Caride,
victore,
Guisbers,
Cors,corps
Omer,Homer
douquel,
Nicole,Lincoln
annuys,
contons,
retraist,retraire
Jehans,Jean
Otte,
Sole,
Pas,
essillier,
desplaisoit,
entremirent,
traiterent,
promit,
amende,amende
pleigerie,
segnor,seigneur
aysie,
prayeries,
aisiement,
herbegié,
targier,targer1
Thomas,
gentils,gentil1
herberga,
portées,
conbatus,
camp,champ
pardonna,
fiautée,
deffault,
combat,
corde,corde
cheÿrent,
piés,pied
vousist,vouloir
meffait,méfaire
meprison,
yrés,
pardonroit,
haulx,
rendi,rendre
desherités,
faicte,
complie,
bachellier,
mennerent,
joustes,
rompre,
quintaine,
caroles,
festoyé,
tournast,
arreer,
commandé,commander
aussitost,
noviau,
Rivedostre,
Brandys,
descendus,descendre
honneréement,
presenta,
court,cour
escheux,
ostoyé,
combatu,
reverance,
semonre,
mandement,mandement
envoyé,
encheux,
ostoié,
clercs,
revellés,
combatus,
deffendant,
guerroya,
combati,
puisque,
anccesseurs,
payé,
cheux,
loingtaing,
reverence,révérence
traveil,
conseulx,
acomplis,accomplir
plaine,plaine
baissier,
proya,
tesmoignances,
seellées,
seau,
faictes,
delivrées,
lointain,
droys,
doyés,
demandés,demander
hardiement,hardiment
donray,
salvant,
pensa,penser
pensé,pensé
duchié,
ancienement,
ottroya,
Pelagonie,
Aussi,
acrut,
cessoit,
adès,
personelement,
Nepant,
asembler,assembler1
acompaignié,accompagner
golphe,
Neopant,
telx,
complaingny,
essilloit,
gastoit,gâter
sodoyer,
attendre,
combatre,
parlemens,
fenis,finir
sodoier,
errement,
appareillés,
quanques,quanque
appareilla,appareiller1
auxi,
Nicxie,
Bondonice,
aliance,alliance1
appareilloient,
reduyre,
valour,
aisnés,aîné
Conninos,
secons,
Dux,
Angeleus,
Congnino,
ainsné,aîné
vicaire,
besoingnes,
enfans,enfant
tourblés,troubler
douta,douter
conseillé,
soudoyer,
vendroient,
Onguerie,
aidast,aider
Servie,
envoieroit,
aura,avoir1
generacions,
guerrier,
demonstrer,
reames,
Ongrie,
 .v. _C_.,
Ongres,
 .vj _C_.,
Andrinoble,
amassemens,
panssée,
 .ij _M_.,
arciers,
retourne,
ostoyerent,
roussignol,
chantent,chanter
creatures,
renovelent,
esjoÿsent,
lointains,
targerent,
Ganine,
duchame,
Graive,
Sideroporta,
commenceroient,
Gripton,
fortes,fort
biaux,
Sevastocratora,
legerement,
remennant,
desbaretée,
corours,
 .iij _M_.,
artirent,
cescune,
commanderent,
coreur,
 .j_e_.,
journée,
chevauchié,
coru,
Catacalo,
bournes,
despartent,
Serve,
certifierent,
chevaucherent,
guerroyers,
 .ij _M_,
archiers,archer1
descovrant,
primiere,
Albanois,
desparti,
.xxvij.,
villains,
asnes,
boeux,
costieres,
herbejoient,
anuitoit,
amassés,
huer,
voys,
abysmer,
mettoit,
fuir,
menchonges,
abusions,
loyoient,
desconforterent,
desrrier,
famillier,
parlierres,
affermer,
menchonge,
saluoit,saluer
chierement,
esmeut,
despotee,
congnoit,
carnel,charnel
aime,aimer
poy,
vraiement,vraiment
combatoient,
perderoit,
vergongne,
puisqu',
embatus,
fortune,
preist,prendre
hastivement,hâtivement
eschaperoit,
desconfortés,
faux,faux2
sainctes,
Euvangiles,
nulz,nul
fauces,
remurs,
endormy,
levée,
sentissent,
conduiroit,
affermés,
voulunté,
pavillon,
tronson,
Belle,
failloie,
abandonnoie,
toy,
auroies,
blasmés,
vueil,
descouper,
abandonner,
meisnies,maisnie
afferme,
oyerent,
esbahy,
anunça,
cognut,
descouvers,
demourent,
traitié,
demourés,
desconfortée,
nuict,
fuis,
familier,
aportées,
trompette,
soneroit,
apparelliés,
trompete,
sonna,
logiés,
conforta,conforter
trahy,
puissions,pouvoir2
frapaille,frappaille
chetive,
faisons,faire
veut,vouloir
estormir,
traison,
Pourtant,
conforterent,
lairoient,laisser
detrenchier,
guant,gant
aprocherent,aprochier
Caraintaines,
Carinée,
aÿr,
alemans,
brisié,brisier
occision,
assemblée,
combatoit,
tuoient,
Sevastocrata,
revisetant,
groses,
jouste,
avisement,
fleur,
Carainteine,
Ungres,
Commains,
resbaudi,
dommagier,
finoient,
navrerent,
trechuchoient,
flesce,
desfroisiés,
cops,coup
maches,
endura,
chaiant,
saisiz,saisir
fioient,fïer
estandart,étendard
estormy,
Incarnation,incarnation
Jhesus,Jésus
 .ij _C_lx.,
eschaperent,échapper
assailliz,
robés,
enfouir,
navrés,
assiz,asseoir
tourna,tourner
voy,
peustes,
desheriter,
eussiés,
cognoistre,
attendiés,
peut,pouvoir2
cuidiés,
tollir,
perderés,
finée,
avantage,
tenés,tenir
escauchiés,
serchoie,
my,
ancessour,
auroie,
deveroye,
deveroie,
loés,
prisiés,
prodommes,
coustume,coutume
conguester,
desheritance,
carneulx,
doy,
appartiens,
parantée,
appartenés,
acquitta,
tenyr,
souffisoit,
vousistes,
allastes,
exillier,
deveriés,
laidement,laidement
traÿson,
entechiés,
apaiserent,
honnereement,
Prince,
ysterés,
rendés,
seriés,
fussiés,
soliés,
porriés,pouvoir2
preisse,
conquestasse,
manderay,
aray,
anccessors,
porrés,pouvoir2
aaisé,
tranquillitée,
nullui,
estiés,
porray,
demouroye,
acquis,
constituerent,
coustumes,coutume
vosisse,
parlés,parler
plaist,plaire
renchon,
enforcerons,
aurés,
coruciés,
audience,audïence
Princes,
monstrés,
outrecuidance,
teux,
cogneu,
huimais,
ysy,
orgueilleuses,
malice,malice
partirez,
raenchon,
partés,
aureys,
encliner,
delivrast,délivrer1
monnoie,monnaie
accorda,
donnant,
comparange,
besoings,
troys,
nommés,
traiteroit,
ravoir,
seremens,
tourner,
coigna,
revenus,
conceue,
serouge,
desiroit,désirer
acorderoit,
affebli,
Lyenars,
chanceliers,
Vaux,
veillart,vieillart
Pellagonie,
efforciés,
delivreroient,
Madame,
alay,
mettra,
getteroit,jeter
pense,pense
appareillié,appareiller1
deusse,
angaigier,
souffreroie,
pardonnerés,
amés,aimer
deimes,
debatimes,
eussiemes,
eussons,
marchié,
conquesta,
Mistra,
Magne,
delivrés,
laray,
feray,
Creator,
sauroit,
voulons,vouloir
mengera,
acordera,
lairoit,laisser
racheter,
 .c _M_.,
metera,
effort,
revelleront,
donront,
seigniaux,
chastellains,
Chauderon,
desiroient,
revisiter,
commencier,commencer
revellerent,
commenchié,commencer
Turquie,
 .m v _C_.,
guerroieur,
Macrino,
gueroier,
aprement,
corporaux,
Chacoignie,
Cardalevo,
promettant,
franchises,franchise
vousissent,
commenca,
prenre,
trametoit,
Sigo,
Chacoignye,
revelerent,reveler
duch,
sejournoit,
pensoit,penser
converty,
gaigné,
domestico,
Catacusino,
Tourc,
del',de.le
prenant,
tuant,
Sergenay,
chapelle,chapelle1
Nicolay,
Mesicle,
Paleopoli,
Gogonas,
peussiés,
getté,
pome,pome
cheue,
toucher,
paisiblement,
arrangiés,
attendoient,
arrengier,
Catacuzino,
soiant,
armés,armer
portant,porter
coccure,
mace,
esperonner,
inbobant,
desprisant,
chevaucié,
esperonnant,
deffaire,
trebucha,
dessoux,
saillir,salir2
desroux,
choite,
resgart,
mesceance,
seignurs,seigneur
aucques,
combattre,
partoit,partir
cortoisement,courtoisement
novitée,
chassier,
gardant,
Turc,
ravanchié,
Brenice,
acreue,
perdy,
honteusement,
auy,
Turcs,Turc
outrageusement,
Coment,comment2
souffist,
enrichy,
cours,cours1
Sachiés,
serés,être1
retenés,
donnés,
commandons,commander
chevance,
maignies,
meillour,
aloyent,
Francoys,
destourberent,
yrié,
talent,talent
meteroient,
vauroit,valoir
pys,
acompaigniés,
soverain,soverain
dommestico,
merveilleux,
retournassent,
prometoit,
entierement,entièrement
finé,finer1
retourneroient,
retournaissent,
trompettes,
deslogierrent,
Charbon,
Biauregart,
fossier,
oyant,
esmayé,
recief,
guerrieur,
pourquoy,
guerroiant,
prioient,priier
Ancelin,
Tucy,
norris,nourrir
langue,
encontrer,
atendoient,attendre1
accointtier,
joyant,
raisonné,
contée,
Beauregart,
Salic,
liquelz,
honnorer,
desconfiroient,
chevauçaissent,
Ancelins,
Coprinyce,
dormirent,dormir
Mudra,
Mondra,
meisnie,maisnie
chevauçoyt,
sy,
Macri,
Plagui,
anuncha,
outroiast,
ottroier,
ottroia,
feusent,
derout,
consenty,
guerriers,
perilleux,
Calamays,
montée,
arresta,
pensast,penser
honorée,
recovrés,
conquestés,
pansés,
faudrons,
recommanderent,recommander
vosist,
Brenyce,
Plagy,
Cavallarichy,
assailly,
reculer,
valée,
arbalestée,
revigorerent,
chassierent,
chastelle,
attaindirent,
desréement,
emlochiés,
derouté,
attandre,
fuite,
derompre,
costiere,
desbaretés,
enfuioient,
chassoient,
chivitains,
Philippes,
eschangier,
marry,
vaulx,
cave,
roches,roche1
desot,
Gardichy,
domestique,
Cavalarichy,
enclins,
reprochoient,
barguignier,bargaignier
escrier,écrier
grejoys,
marchandise,
congnurent,
semblast,sembler1
estés,
desarmés,
saisis,saisir
chiel,ciel
raveroit,
ceux,
esmeer,
sevastades,
traveilliés,
revellé,
crierent,crïer2
mercy,
debonnaires,débonnaire
misericors,
recouvreroit,
maintenu,
encommenchié,
gasté,gaster
essillié,essillier
omnipotent,
rench,
visible,
vengance,
yngal,
deussiés,devoir2
layray,
yci,
reprochiés,
appartient,
aversités,
communes,
failly,
heritaiges,
anciserie,
anciseurs,
thyrannie,
toillirent,
benignes,
affermance,
feistes,faire
comparage,
feustes,
commençastes,
eustes,avoir1
ycy,
vantés,
comunes,
ramembroit,
deconfite,
aviés,avoir1
blameriés,
devoye,
plaise,plaire
excusé,
especialement,
pourtant,
chappe,
desmentisse,
dittes,
convant,
croy,
malvese,mauvais
informacion,
aloye,
portoyent,
ayt,
doute,doute
chevauce,
ayant,
doutance,doutance
malveistié,mauvaiseté
apaisiées,
Clermont,
marche,marche2
antorer,
laquel,
guieres,
habitant,
fortrait,
vuyde,
citien,
habitatour,
furny,
seur,sur1
revelé,reveler
fourrage,
furnirent,
coury,
Eles,elle1
forrage,
fournirent,
fortunes,
guient,
destourbent,
Bucelet,
malveises,
entrées,
miene,
malveis,mauvais
ribauderies,
despis,despire
traitours,
gastent,
essillent,
faichent,faire
corissent,
gastaissent,
reveler,reveler
Turq,
gaignier,
essillerent,
bouterent,
ardirent,
deffensée,
presentoient,
reduisirent,
ordenance,ordonnance
excusacion,
eut,avoir1
convent,couvent
onora,
pluszeurs,
demourerent,demeurer
batysier,
layrons,
guerroioit,
laide,lait1
mene,
honteuse,hontos
engingna,
Carevas,
aisement,
voé,vöer1
pelerinage,pèlerinage
Angle,
Maffroy,
Cecille,
occoison,
affaire,
certefia,
amenée,
tollue,
semondrent,
acuilli,
voué,
beoit,
Mafroys,
certefiés,
compassion,compassion1
ribauderie,
crestienté,
deservi,desservir1
deffailli,
pardoins,
commans,
vuydyer,
trovés,trouver
abandonne,
descovertement,
honteux,
sarmon,
excuse,
gracieusement,
pout,pouvoir
obeÿroit,
encombrement,
maladie,maladie
panssant,
pardoneroit,
ny,
cuidierent,cuider
Carment,
proia,prier
paiés,
promirent,
aideroient,aider
Freres,frère
Preceours,
corous,
abandonna,abandonner
sentoit,sentir
coulpables,
coroie,
cheÿ,
genoux,
Prelas,
agenoullierent,
devotement,dévotement
mesprangne,
sang,sang
estrays,
cognoit,
seignours,
mesprandre,mesprendre
mesprise,
seroye,
mesprit,
pardonnay,
deshonnerable,
eusse,
deshoneste,
magnifestée,
debatue,
trayt,
randy,
hommages,
taist,taire
Charle,Charles
mascle,
heriter,
Louys,
Ysabeau,
aisnée,
yteulx,
Provence,Provence
pus,
moullier,
Edouart,
mariées,
oyés,
pervint,
Fedric,
seignorioit,
reame,
reigne,
Romaigne,
Ytalie,
chassié,
persecucion,
reduys,
excommunié,
entredit,
entreprenant,
coroneroit,
persecutoit,
reaulmes,
confermer,
entreprenoit,
metteroit,
entrevenir,
maulx,
amenast,
roïnes,
deduyt,
asit,
ygal,
roÿnes,
devoir,
portés,
poissance,
ramprone,
sonner,
suers,
entré,en1
manoys,
soudainement,
vergoigneuse,
torcha,
appercevans,
paterne,
dirés,
corouceray,
yrier,
deboutée,
meneur,mineur1
reboutée,
seray,
ni,ne2
couronnée,
Sainct,
coronera,
confaronnier,
veuille,
persecute,
occaission,
veuilliés,
acroissemens,
vouloir,vouloir
huy,
doutoie,
cuidissiés,
eslongier,éloigner
plaira,
benedicion,
moye,
puissiés,
abandonnera,
thesaur,
tarides,
harnois,
peticion,
rendy,
Paul,
revanchier,
toulu,
percecucion,
cardinalx,
Romme,Rome
archevesques,
delès,
beneÿ,
mengerent,
chanta,chanter
coronna,
confanon,gonfanon
quicunques,
devot,
feal,
Eglise,église
persecuteur,
arma,armer
droictement,
agenoilla,agenouiller
benediction,
espaulle,épaule
trestout,trèstous
absolvi,
droits,
absolx,
pechiés,
païens,païen
beneïs,bénir
Chipran,
descombré,
resgne,règne
attandoit,
Bonivent,
Maffroys,
thirannie,
tournerons,
gaaignoit,
perdoit,
occis,
auces,
enrachinée,
jecter,
poissans,puissant
femelles,
apparenter,
reconquester,
prenderoie,
ancesseurs,
ensement,ensement
poés,pouvoir2
neccessité,
filx,
prengne,
demoiselle,
leale,
oiés,
afermée,
Jaque,
Oline,
Pierres,pierre
entendues,
envoiés,
diliganment,
messagerie,
responderoit,
enquirent,
Vaus,Vake
erremens,
condicions,
parmy,
certefierent,
certefié,
pleu,
mandées,
richement,richement
persone,personne
semony,
mengier,manger
deporté,deporter
conjoindre,
pensassent,
mode,
fiancha,
archevesque,archevêque
fiançailles,
devesti,
Lauys,
Thurqs,
yroit,
Brandix,
illeques,
fournir,
reposé,reposer
maisnie,maisnie
chivitaneries,
ordenant,ordonner
frontieres,
garnisons,
conterons,conter
ainxy,
Galerant,
Vry,
 .ij _C_.,
aprochoit,approcher
milles,
.cl.,
.ijC.,
flumare,
orgueilloux,
coreurx,
Gardelevio,
essilerent,
gaignerent,
recoillirent,
Cremoignie,
responderoie,
françoise,François
combatissent,
preissent,
avantaiges,
acordoient,
pyunaille,
pourchacier,pourchasser
yverner,
largier,
partoient,partir
vuyt,
corroit,
consummeroit,
miser,
Jan,
desquelz,
.l.,cincante
Calemate,
Lienart,
chancelier,
secore,
corse,
favourables,
estably,
gant,
bailliage,
Galerans,
prodoms,
Coradins,
roiame,
Calabre,Calabre
Aleaigne,
aprins,
Turqs,
descovir,
Corradins,
regardés,
avisés,
voirement,voirement
descouvert,découvrir
despart,
coignois,
desperée,
combatent,
aurons,
Trés,très
chers,cher
feisse,
commandés,
frandre,
ainsçoys,
faice,
deviseray,
Vous,vous
ordinerés,
ferés,faire
aiés,avoir1
embuchiés,
veux,
vendront,
yront,
metteront,
fuyr,
arrestent,
euill,
covoiteux,
pavillons,
lairont,
arons,
gahius,
regarderont,
convenue,
esparpeilleront,
vendrés,
retourneront,
troverons,trover
desreés,
esparpeilliés,
Nous,nous
dessconfirons,
despartirent,
briefs,
Alemand,
esparpeillerent,
desrompre,
esparpeillié,
enclorent,
ordenement,ordonnement
Coradin,
couperent,
courchiés,
cousté,
 .x _M_.,
ounces,
coupée,
honorés,honorer
revangier,
departy,
gaignié,
harnoys,
festoiant,
route,rote4
trieves,
recouvré,
grossement,
fourny,
joiaux,
Brandis,
ussiers,
arriver,arriver
honour,
festoier,festiier
novité,
Aracove,
leux,lieu1
Arcove,
sambla,
froides,froid
accuilly,
laissoit,
sovent,souvent
Vaillant,vaillant
coucha,coucher
maintenoit,
gouvernoit,
Guis,
consentement,consentement
Hugue,
Brene,
Liche,
conversoit,
officiaux,
conchut,
escheÿ,
Compaigne,
descort,
Remyro,
mille,mille1
 .iij _C_x.,
 .xv_e_.,
leundi,
 .viij_e_.,
indicion,
madame,madame
Margerite,Marguerite
dicte,
perdoint,
amme,
ysteroit,
raençon,rançon
ostages,otage
Cauderon,
charnel,
escheüx,
saisir,saisir
provant,
defailli,
usances,
commandent,
ouÿ,
occaision,
aroit,avoir1
secunde,
eschiet,
offroit,
paissoit,
mariast,
vesve,
Belas,
cousins,
.vij.,sept
clamés,clamer
marescaux,
Saint-Omer,
escheüe,
eure,heure
Sophye,
amassée,
quarantaine,
anée,
excusation,
offry,
parante,
revesticion,
eritaige,
escheü,
liges,
desconseillie,
presentent,présenter
avoué,
offrent,
prient,prier
plaire,plaire
revestir,
cognissons,
desheritée,
cuidasse,cuidier1
demanderoye,
empeschie,
requerés,
feroye,
reffusoie,
renforcier,
metteray,
sentencier,
loiaulment,
avocat,
parleres,
daigniés,daigner
avocas,
porterai,porter1
deffense,
recommans,
requiers,requérir
recommandée,
proposer,
mareschalesse,
commencement,
soyant,
saisirent,
deffaute,
allegacions,
deffances,
poins,poing
pendoyt,
prova,
chapitre,
aferma,
fournissant,
dete,dette
comparut,
monstré,
dette,dette
debati,
tenour,
eritage,héritage
regracia,
querelle,
renderoit,rendre
dommagiée,
Marguerite,
demanday,
vouliés,
sueur,
congnois,
apertement,apertement1
ainçoys,
reprinrent,
partissent,partir
repairiés,repairer
Chancelier,
mareschallesse,
avisay,
gaigniée,
remort,
faiciés,
departés,
previliege,
especial,
prothoficier,
Colinet,
Lezquelx,
Coulovrate,
Gueraines,
Guomenice,
Cocovax,
Calandrice,
Juliane,Julienne
Gastoigne,
Charpigny,
Estransses,
Valte,
Regranice,
Coscolomby,
Lisarée,
Toporice,
Valaques,
Barthomée,
Escuel,
montagne,
Aventures,
nomma,
Catellens,
toully,
couvertoir,
soyés,
despoillie,
levés,lever
prenés,
contient,contenir
reveste,
chaperon,chaperon
noiant,néant
gaaigniée,
demoisselle,
acoucha,
senty,
testament,testament
recommendées,
may,
 .ij _C_lxxvij.,
glorieux,glorieux
fonda,fonder1
atout,atout
chappellains,
beneficiés,
benefice,bénéfice
layens,
tombe,
mylieu,
monseignour,
trespassés,
defina,
Rous,
Sulli,
honnmes,
besongnoit,
lisirent,
commissions,
Benoit,Benoît
Roux,
enclinoient,
Yce,
romperoient,
Nissye,
juraissent,
obeïssent,
receüx,
prothoficiaires,
thesaurier,
pourveur,
connestables,
Loÿs,
Veillart,
Boiteux,
Sully,
Mehaulte,
Florant,
sourvesqui,
Soulli,
Dimatre,
Hugues,
duchesse,
Jehane,Jeanne
Sanu,
Nixie,
ducesse,
Guy,
fillastre,filâtre
avoierie,
compli,
appelés,
orrés,ouïr
douaire,
certeines,
richesse,
vaisselemente,
joyaux,
desmesurement,
abatirent,abattre1
recouvrast,recouvrer
Maniatecor,
Trimolay,
Calendrice,
tesmoingnances,
cautelles,
boiteux,
tesmoingnoient,
examinée,
lays,
baronie,baronie
esgard,
cognoissance,
doc,
revellez,
bany,
trenchier,
ysist,
coy,
apensa,
orrez,ouïr
loisir,loisir1
Salicore,
corante,
Buchelet,
cisternes,
restraindre,restreindre
chastellain,
Fylocalo,
cisterne,
pensent,penser
Filocalo,
Auxi,
cette,
afleby,
Chiers,
tesmoingnance,
chernel,
commandant,
prouvoye,
feusse,être1
prove,
tollirent,
ayol,
desesperance,
mirencolie,
aventurer,
promech,
partiray,
aisiés,
entrepregniés,
tourt,
pourfit,profit
aye,
fys,
fy,
armures,
cheans,
summier,
sagement,sagement
apperchoive,
hernoys,
duy,
appelleront,
argüés,
buverés,
yvres,ivre
prenderez,
portier,portier2
bras,bras
geterez,
seirerés,
aporterés,
clés,clef
monteront,
tandys,
armerons,
maisgnie,
monterons,
prenderons,prendre
geterons,
douzaine,
metterons,
manderons,
viengne,venir
saura,
tenons,tenir
tiengne,tenir
divisée,
saroient,
geter,jeter
laiens,léans
sergant,sergent1
armeures,
envoierrent,
Vidoigne,
chapitainerie,
puest,
enforça,
nysun,
oyez,
 .jj _C_.,
alée,
rendroit,
propres,propre
anchisour,
complaindre,complaindre
mostray,
estoye,
veullent,
reputer,
tollu,
tendray,
onour,
proye,
poisé,
garans,
mandant,
commist,
congnissance,
regarderent,regarder
loiauté,loyauté
Caritaine,
prions,prier
conseillons,
consaulx,
assiegé,
ottroy,
Moraines,
Liserée,
Elaine,
Villain,
Anoé,
Arcadye,
Erars,
Agnès,
Estienne,
Maure,Maur
tayst,
Thornay,
souvent,souvent
serviche,
Bordiaux,
renc,rang
amirail,amiral
acontrerent,
Haynaut,
realme,royaume
Florans,
estatus,
maintenus,
chapitres,
femele,
pucelle,pucelle
magnifestement,
nocez,
 .iij _C_.,
nagerrent,
donée,
recommander,
chanoine,chanoine
magnifestament,
vulgar,
entendist,
bourgois,bourgeois
université,
fealté,féauté
reservoit,
desgarnis,
exillié,
mauvais,mauvais
souffrirent,
consumment,
exsill,
serchoit,
changast,
saroit,savoir1
ampereur,
tolloient,
avet,
Jaguora,
Fyleatopyno,
Fyloatopino,
adrechier,
parlée,
forte,fort
Phyloathopyno,
asseurance,
chapistres,
contiegne,
Fyloatopyno,
seirement,serment
cras,
plantureux,
affermée,
soudoia,
Cephalonye,
goulfe,
 .xiiij _M_.,
 .xxx _M_.,
Janine,
entrée,
avironés,
estanc,
deffendy,
monstroit,
destourboient,
acordoit,
personnelement,
 .iiij _C_.,
desirance,
escondist,
paye,
recuilly,
F,
Richard,Richard
Richart,Richard
Cephalonie,
achevée,
ainsnés,aîné
contans,
.cccj.,
esploita,exploiter
advint,
assamblés,
aions,avoir1
onnour,honneur
mercis,merci
respons,respons
paranté,
visinance,
leurz,
mourrons,
Janina,
ban,no_lem
siuir,
banniere,
sejour,
apparut,apparoir
esmurent,émouvoir
adrecherent,
certainetée,
grantment,grandement
accorderent,
diroye,
deslogerent,
atteindre,
combateroient,
sievant,
attaindre,
attendist,
convenable,convenable
courtoisie,
loingtain,
abandonerent,
chassant,
attainderoient,
gaaignerent,gäaignier1
asseurés,
sourpris,
course,
arrivées,
Tort,tort1
vieille,
Prevasse,
roboient,
espoventés,
troublés,
montra,
prengnent,
donnent,
